threshold,selected_events,mass_window_events,peak_position,peak_height,fwhm,fwhm_left,fwhm_right,signal_window_events,signal_window_fraction
0.1,13117706,7946119,90.75,554936,4.656827691987772,88.50993521048412,93.16676290247189,6761974,0.8509781945123147
0.15,10013295,7790458,90.75,554400,4.653749743291186,88.51188565532829,93.16563539861947,6744152,0.8656939040041035
0.2,9317894,7674466,90.75,553914,4.651611119748196,88.51324677028002,93.16485789002822,6730440,0.8769913111869934
0.25,8865094,7579860,90.75,553470,4.650062107442849,88.51416579223505,93.1642278996779,6718799,0.8864014638792801
0.3,8565641,7500349,90.75,553041,4.648625985103195,88.51509387554317,93.16371986064637,6708166,0.8943805148267101
0.35,8322830,7426904,90.75,552608,4.64716157756564,88.51600791162615,93.16316948919179,6697993,0.9018553356822708
0.4,8111528,7354754,90.75,552125,4.646247113630267,88.51659139431762,93.16283850794788,6687658,0.909297306204939
0.45,7919796,7281153,90.75,551622,4.645278698904249,88.51721303389998,93.16249173280423,6676847,0.9170040788869565
0.5,7739658,7204592,90.75,551103,4.644080548206816,88.51798451778318,93.16206506598999,6665276,0.9251427422954693
0.55,7567555,7125037,90.75,550484,4.642665638813796,88.51874711962604,93.16141275843984,6651934,0.9335999237617995
0.6,7400076,7041485,90.75,549845,4.640666192053317,88.52009274206833,93.16075893412165,6636525,0.9424894038686442
0.65,7234270,6950669,90.75,549002,4.638960920932632,88.52137913989125,93.16034006082388,6616166,0.9518747044349256
0.7,7068643,6849542,90.75,548038,4.636065875507612,88.52335677263873,93.15942264814635,6582558,0.9610216274314399
0.75,6907156,6731034,90.75,546692,4.632092670362667,88.52630882693389,93.15840149729655,6521732,0.9689049260485091
0.8,6742235,6583601,90.75,544755,4.625806235168497,88.5309551055608,93.1567613407293,6419791,0.97511847999294
0.85,6526285,6382326,90.75,541449,4.616415860133543,88.5378789140573,93.15429477419084,6254973,0.9800459895028866
0.9,6184819,6056154,90.75,534593,4.5974138465425085,88.54763821117763,93.14505205772014,5960902,0.9842718662702434
0.95,5391324,5286989,90.75,514230,4.50927938845895,88.57132978178466,93.0806091702436,5217709,0.98689613312984
