threshold,selected_events,mass_window_events,peak_position,peak_height,fwhm,fwhm_left,fwhm_right,signal_window_events,signal_window_fraction
0.1,13117706,7948112,90.75,553023,4.625341276455259,88.50009588127396,93.12543715772922,6709617,0.8441774600055963
0.2,9317894,7676259,90.75,552149,4.620078305607024,88.50337002639228,93.1234483319993,6679924,0.8702056561666301
0.3,8565641,7501951,90.75,551439,4.617207903766541,88.50510877556476,93.1223166793313,6659881,0.8877531991344652
0.4,8111528,7356209,90.75,550733,4.61491618134562,88.50654990804213,93.12146608938775,6642248,0.9029444378211657
0.5,7739658,7205873,90.75,549959,4.61275520151915,88.50789381212141,93.12064901364056,6623840,0.9192279686305879
0.6,7400076,7042591,90.75,549047,4.609626437376335,88.50950114784591,93.11912758522224,6601068,0.937306738386483
0.7,7068643,6850455,90.75,547668,4.606091963531327,88.5114360988052,93.11752806233653,6556635,0.9571094182795158
0.8,6742235,6584308,90.75,545264,4.599076598984723,88.51456535271454,93.11364195169926,6406242,0.9729560038807419
0.9,6184819,6056626,90.75,538250,4.577285959413047,88.52015501252285,93.0974409719359,5966480,0.9851161356174213
