threshold,selected_events,fit_window_events,fit_success,m0,m0_err,gamma,gamma_err,fwhm_bw,amplitude,amplitude_err,slope,slope_err,intercept,intercept_err,error_message
0.1,13117706,6761974,True,90.85120095828317,0.0011962866522995436,4.437813857119905,0.004047306124775649,4.437813857119905,114714.2370156363,72.5970048976899,-166.38880375836274,1.2266993384201825,14373.07352627335,108.32644037556716,
0.15,10013295,6744152,True,90.8511752770217,0.0011954049470596579,4.43798586766216,0.004041811109592436,4.43798586766216,114670.9068055434,72.54751063103133,-163.84477810331654,1.2203525891562774,14066.783253355534,107.7233383130777,
0.2,9317894,6730440,True,90.85103045493723,0.0011948462983087736,4.438135840447501,0.004038072068791939,4.438135840447501,114623.34282049749,72.50704054572681,-161.80117581179613,1.2156400805508731,13827.545032559445,107.27442854374524,
0.25,8865094,6718799,True,90.85101949179304,0.0011944386259353191,4.438066102963298,0.0040351501543922025,4.438066102963298,114575.25721532822,72.47295745133107,-160.12037797931413,1.2118774066720341,13632.856969396336,106.913188742154,
0.3,8565641,6708166,True,90.85106201376323,0.0011941430926193633,4.438178530353335,0.004032873279770219,4.438178530353335,114524.42296657863,72.438693392258,-158.81331747153425,1.2084766821374424,13476.576963072926,106.59227556164159,
0.35,8322830,6697993,True,90.85107957374174,0.0011939319110197586,4.4385324040887895,0.004030992358468651,4.4385324040887895,114469.35774219494,72.4020938296135,-157.63206708503458,1.2052247236456868,13333.605294016072,106.28535048742093,
0.4,8111528,6687658,True,90.85110947548385,0.0011937966811662436,4.439045582493223,0.004029427469870541,4.439045582493223,114406.33956959672,72.36189763046556,-156.47119148773504,1.2019880092811093,13193.049145864396,105.98194976191081,
0.45,7919796,6676847,True,90.85108405447268,0.0011936311183589129,4.439655473750498,0.004027652192516924,4.439655473750498,114342.14717748917,72.31974035434946,-155.03302238037557,1.1985170639760645,13024.88647978315,105.65167500592952,
0.5,7739658,6665276,True,90.85106400044378,0.0011934870903862124,4.440378076501381,0.004025940743123484,4.440378076501381,114270.68606293117,72.27329689977569,-153.59967286355632,1.1948328471107774,12854.826792438373,105.30308514694738,
0.55,7567555,6651934,True,90.85093090114447,0.0011933148216710064,4.441758602383356,0.004024061885849812,4.441758602383356,114190.24155212639,72.2153336699724,-151.73351693965836,1.1903061611406527,12635.50790081366,104.87273977617491,
0.6,7400076,6636525,True,90.85099445207872,0.0011930697487954902,4.444394694317866,0.004021772838571515,4.444394694317866,114107.0475748258,72.13954130403856,-149.77391558451208,1.1844377816755682,12390.273742222165,104.31922918690786,
0.65,7234270,6616166,True,90.85055683260848,0.0011927830505328216,4.451966624487167,0.004019299388009719,4.451966624487167,114011.47853239372,72.00184441097308,-145.7162289304487,1.1749170840829415,11903.118911187099,103.38566371362037,
0.7,7068643,6582558,True,90.84526133448014,0.0011925557655312975,4.490847484687616,0.0040188612287695,4.490847484687616,113914.10269052577,71.53573050721198,-125.57260141091281,1.1480837888716011,9693.784559333006,100.44464698119909,
0.75,6907156,6521732,True,90.83046467985909,0.0011920416345692385,4.600508148432858,0.004021487405932946,4.600508148432858,113859.58900825195,70.35334181609157,-73.61244910707497,1.0814591397158357,3994.764953250874,92.91734171498909,
0.8,6742235,6419791,True,90.81866505242635,0.0011870779379374182,4.752969501615661,0.0040023170695742405,4.752969501615661,113992.01045414756,68.73521997760798,-28.547833640200295,0.9655099611579198,-1599.963398371937,80.83315527569418,
0.85,6526285,6254973,True,90.82808520745088,0.0011668631541244183,4.824653455852242,0.0038813247333962836,4.824653455852242,114664.8783584489,67.71562135612595,-29.251470689434665,0.8041398453685143,-3019.9166461652967,65.78506087361936,
0.9,6184819,5960902,True,90.87667344877076,0.0011035952078689434,4.524959542520358,0.003433969125668345,4.524959542520358,116846.8504816307,69.6580876532622,-58.77503811703813,0.60502543991454,-801.7659223053809,48.452516549356815,
0.95,5391324,5217709,True,91.03835490379325,0.0009383881217192965,3.2321894299143996,0.0023552838598196396,3.2321894299143996,121396.4739437101,81.97747826513518,-76.65219031309147,0.3932505323635623,2909.5771950243434,30.916093538946665,
